City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,ahipara,-35.1667,173.1667,295.67,79,68,3.76,NZ,1675204175
512,rawson,-43.3002,-65.1023,291.51,47,0,8.92,AR,1675204395
513,dubinino,55.6192,89.0911,255.94,97,99,1.11,RU,1675204395
514,mahonda,-6.45,39.4667,299.55,80,43,3.82,TZ,1675204129
515,manggar,-2.8833,108.2667,298.43,87,100,3.53,ID,1675204396
516,bekovo,52.4663,43.712,272.08,97,100,4.38,RU,1675204396
517,buala,-8.145,159.5921,301.92,70,79,4.78,SB,1675204397
518,kampot,10.6167,104.1833,295.18,71,100,0.86,KH,1675204397
519,bilibino,68.0546,166.4372,255.59,96,53,3.0,RU,1675204122
520,egvekinot,66.3167,-179.1667,262.99,90,79,2.62,RU,1675204398
521,nhulunbuy,-12.2333,136.7667,302.49,79,98,4.63,AU,1675204398
522,waingapu,-9.6567,120.2641,299.73,82,74,2.41,ID,1675204398
523,port blair,11.6667,92.75,300.17,78,40,2.06,IN,1675204399
524,uvat,59.1433,68.8953,263.3,95,100,3.92,RU,1675204399
525,salsk,46.4725,41.5428,275.69,82,90,2.93,RU,1675204400
526,portales,34.1862,-103.3344,270.89,41,83,3.13,US,1675204400
527,kangaatsiaq,68.3065,-53.4641,254.42,86,100,3.39,GL,1675204401
528,tabou,4.423,-7.3528,299.65,86,6,3.46,CI,1675204401
529,mount gambier,-37.8333,140.7667,288.47,69,100,4.76,AU,1675204402
530,isangel,-19.55,169.2667,303.21,79,75,1.03,VU,1675204402
531,santa rosa,14.3122,121.1114,297.14,81,76,4.74,PH,1675204403
532,along,28.1667,94.7667,284.49,68,13,0.7,IN,1675204403
533,singaraja,-8.112,115.0882,299.61,83,100,1.24,ID,1675204404
534,ketchikan,55.3422,-131.6461,279.14,93,100,2.06,US,1675204404
535,wanaka,-44.7,169.15,294.32,70,96,2.68,NZ,1675204404
536,ixtapa,20.7,-105.2,298.83,65,20,4.63,MX,1675204405
537,constitucion,-35.3333,-72.4167,290.06,65,21,5.96,CL,1675204405
538,bedford,52.1346,-0.4663,278.99,77,22,6.16,GB,1675204360
539,kahului,20.8947,-156.47,299.73,78,40,2.06,US,1675204182
540,gap,44.6667,6.0,265.83,77,34,3.63,FR,1675204406
541,ngunguru,-35.6167,174.5,295.42,82,70,4.66,NZ,1675204406
542,sao joao da barra,-21.6403,-41.0511,299.2,83,47,7.94,BR,1675204118
543,penzance,50.1186,-5.5371,281.53,67,91,8.22,GB,1675204407
544,atbasar,51.8,68.3333,250.76,97,73,0.89,KZ,1675204407
545,talavera de la reina,39.9635,-4.8308,275.55,73,0,1.36,ES,1675204408
546,maragogi,-9.0122,-35.2225,298.33,84,35,3.52,BR,1675204393
547,kautokeino,69.0125,23.0412,256.0,98,34,1.9,NO,1675204164
548,bereda,43.2686,-7.5406,272.67,100,14,1.95,ES,1675204172
549,yopal,5.3378,-72.3959,301.44,38,15,1.94,CO,1675204409
550,areia branca,-4.9561,-37.1369,300.65,78,24,9.77,BR,1675204409
551,monroe,43.1501,-77.6831,267.84,75,75,3.09,US,1675204410
552,izazi,-7.2,35.7333,292.71,90,23,0.63,TZ,1675204410
553,bermeo,43.4209,-2.7215,282.43,84,100,3.23,ES,1675204410
554,belogorsk,50.9158,128.4611,240.89,100,93,1.72,RU,1675204411
555,veraval,20.9,70.3667,293.43,41,29,7.97,IN,1675204411
556,tessalit,20.1986,1.0114,289.21,11,0,4.4,ML,1675204412
557,bathsheba,13.2167,-59.5167,298.49,73,20,4.12,BB,1675204412
558,vao,-22.6667,167.4833,298.92,76,77,4.58,NC,1675204121
559,paamiut,61.994,-49.6678,262.77,67,100,3.59,GL,1675204413
560,lyuban,52.7985,28.0048,271.25,95,100,3.24,BY,1675204413
561,muisne,0.6,-80.0333,298.17,88,80,3.36,EC,1675204414
562,bagdarin,54.4333,113.6,246.9,91,10,1.93,RU,1675204414
563,guaratuba,-25.8828,-48.5747,301.12,87,100,2.7,BR,1675204414
564,urumqi,43.801,87.6005,258.68,85,40,1.0,CN,1675204415
565,otavalo,0.2333,-78.2667,290.27,96,93,1.66,EC,1675204415
566,vostochnyy,55.8167,37.8667,273.36,93,100,3.93,RU,1675204416
567,tanout,14.9709,8.8879,293.25,14,12,6.18,NE,1675204416
568,melita,49.2681,-100.9967,254.01,92,100,0.89,CA,1675204243
569,arawa,-6.2132,155.5367,302.11,75,96,1.61,PG,1675204273
570,klyuchi,52.2667,79.1667,260.48,95,100,1.62,RU,1675204277
571,gweta,-20.1833,25.2333,296.32,71,94,3.17,BW,1675204417
572,presidente venceslau,-21.8761,-51.8439,295.13,90,100,1.4,BR,1675204418
573,requena,39.4883,-1.1004,275.26,50,0,0.88,ES,1675204418
574,santa cruz de la palma,28.6835,-17.7642,289.23,67,20,3.6,ES,1675204419
575,tupik,54.4253,119.9327,243.79,98,84,1.75,RU,1675204419
